14:10:40.323 [main] INFO  assignment4.Assignment4$ - Reading file /assignment4/data_set.mat
14:10:41.477 [main] INFO  assignment4.Assignment4$ - Reading file /assignment4/a4_randomness_source.mat
14:10:41.978 [main] INFO  a.RestrictedBoltzmannMachine - 0: M -14.790736865415496
14:10:41.979 [main] INFO  a.RestrictedBoltzmannMachine - 0: G -10705.812959210305
14:10:42.004 [main] INFO  a.RestrictedBoltzmannMachine - 1: M -228.90699604962228
14:10:42.004 [main] INFO  a.RestrictedBoltzmannMachine - 1: G -5229.325983280992
14:10:42.023 [main] INFO  a.RestrictedBoltzmannMachine - 2: M -526.1981489810211
14:10:42.023 [main] INFO  a.RestrictedBoltzmannMachine - 2: G -1487.677873464245
14:10:42.038 [main] INFO  a.RestrictedBoltzmannMachine - 3: M -823.5137440885775
14:10:42.038 [main] INFO  a.RestrictedBoltzmannMachine - 3: G -357.6315585206076
14:10:42.051 [main] INFO  a.RestrictedBoltzmannMachine - 4: M -1098.2504108557753
14:10:42.051 [main] INFO  a.RestrictedBoltzmannMachine - 4: G -72.74042299126438
14:10:42.064 [main] INFO  a.RestrictedBoltzmannMachine - 5: M -1346.9682194060963
14:10:42.064 [main] INFO  a.RestrictedBoltzmannMachine - 5: G 105.55320876399962
14:10:42.077 [main] INFO  a.RestrictedBoltzmannMachine - 6: M -1568.7031829260957
14:10:42.077 [main] INFO  a.RestrictedBoltzmannMachine - 6: G 82.03678867092971
14:10:42.090 [main] INFO  a.RestrictedBoltzmannMachine - 7: M -1766.6239143206928
14:10:42.090 [main] INFO  a.RestrictedBoltzmannMachine - 7: G 108.61485528266952
14:10:42.104 [main] INFO  a.RestrictedBoltzmannMachine - 8: M -1942.580275470132
14:10:42.104 [main] INFO  a.RestrictedBoltzmannMachine - 8: G 109.56844588625552
14:10:42.122 [main] INFO  a.RestrictedBoltzmannMachine - 9: M -2098.74963158693
14:10:42.122 [main] INFO  a.RestrictedBoltzmannMachine - 9: G 75.59282688292843
14:10:42.140 [main] INFO  a.RestrictedBoltzmannMachine - 10: M -2237.7901955543716
14:10:42.140 [main] INFO  a.RestrictedBoltzmannMachine - 10: G 219.75473482423638
14:10:42.158 [main] INFO  a.RestrictedBoltzmannMachine - 11: M -2358.5316084286437
14:10:42.158 [main] INFO  a.RestrictedBoltzmannMachine - 11: G 152.53934466197308
14:10:42.177 [main] INFO  a.RestrictedBoltzmannMachine - 12: M -2464.1480931221745
14:10:42.177 [main] INFO  a.RestrictedBoltzmannMachine - 12: G 233.84126175687882
14:10:42.196 [main] INFO  a.RestrictedBoltzmannMachine - 13: M -2554.5261041112326
14:10:42.196 [main] INFO  a.RestrictedBoltzmannMachine - 13: G 90.8705720333815
14:10:42.214 [main] INFO  a.RestrictedBoltzmannMachine - 14: M -2634.0489025607403
14:10:42.214 [main] INFO  a.RestrictedBoltzmannMachine - 14: G 141.57662934136044
14:10:42.232 [main] INFO  a.RestrictedBoltzmannMachine - 15: M -2702.7878885784717
14:10:42.232 [main] INFO  a.RestrictedBoltzmannMachine - 15: G 120.51507590798313
14:10:42.250 [main] INFO  a.RestrictedBoltzmannMachine - 16: M -2762.242674476293
14:10:42.250 [main] INFO  a.RestrictedBoltzmannMachine - 16: G 43.277656784375836
14:10:42.276 [main] INFO  a.RestrictedBoltzmannMachine - 17: M -2814.886428648602
14:10:42.276 [main] INFO  a.RestrictedBoltzmannMachine - 17: G 37.33287561102862
14:10:42.288 [main] INFO  a.RestrictedBoltzmannMachine - 18: M -2861.5191498914696
14:10:42.288 [main] INFO  a.RestrictedBoltzmannMachine - 18: G 49.50039082920138
14:10:42.301 [main] INFO  a.RestrictedBoltzmannMachine - 19: M -2902.498591193417
14:10:42.301 [main] INFO  a.RestrictedBoltzmannMachine - 19: G -53.99973881204267
14:10:42.315 [main] INFO  a.RestrictedBoltzmannMachine - 20: M -2940.460083141489
14:10:42.315 [main] INFO  a.RestrictedBoltzmannMachine - 20: G 53.691265612875206
14:10:42.327 [main] INFO  a.RestrictedBoltzmannMachine - 21: M -2973.5516005824834
14:10:42.327 [main] INFO  a.RestrictedBoltzmannMachine - 21: G 61.216668213574394
14:10:42.340 [main] INFO  a.RestrictedBoltzmannMachine - 22: M -3002.1096329150946
14:10:42.340 [main] INFO  a.RestrictedBoltzmannMachine - 22: G 54.534622261160784
14:10:42.352 [main] INFO  a.RestrictedBoltzmannMachine - 23: M -3026.721169569165
14:10:42.353 [main] INFO  a.RestrictedBoltzmannMachine - 23: G 55.65382585806909
14:10:42.365 [main] INFO  a.RestrictedBoltzmannMachine - 24: M -3047.7584760407694
14:10:42.367 [main] INFO  a.RestrictedBoltzmannMachine - 24: G -15.981578539982484
14:10:42.380 [main] INFO  a.RestrictedBoltzmannMachine - 25: M -3067.0116834359546
14:10:42.380 [main] INFO  a.RestrictedBoltzmannMachine - 25: G 131.44101204518216
14:10:42.393 [main] INFO  a.RestrictedBoltzmannMachine - 26: M -3081.7107498507394
